Number	Text	Original text in English (This column is ignored during the import)
500000	Aversão à reputação engatilhada.	Reputation aversion triggered.
500001	Eu não tenho nenhuma reação a você.	I have no reaction to you.
500002	Eu estou indo para casa.	I am going home.
500003	Procurando.	Searching.
500004	Ocioso, vagando.	Idle, wandering.
500005	Saindo do combate devido a bandeiras.	Bugging out of combat due to flags.
500006	Você não está mais silenciado.	You are no longer muted.
500007	Você não está mais congelado.	You are no longer frozen.
500008	Você não está mais invulnerável.	You are no longer invulnerable.
500009	Oscilante	Swinging
500010	Nenhum script	No scripts
500011	Sem variáveis	No vars
500012	Você não pode usar habilidades enquanto morto.	You cannot use skills while dead.
500013	Você não pode usar habilidades.	You cannot use skills.
500014	Essa habilidade não pode ser usada diretamente	That skill cannot be used directly.
500015	Você não tem essa magia!	You do not have that spell!
500016	Você não tem essa magia!	You do not have that spell!
500017	Agora o banco está HABILITADO.	Bank is now ON!
500018	Agora o banco está DESABILITADO.	Bank is now OFF
500019	Parâmetro errado. Banco está atualmente HABILITADO	Bad param.  Bank is currently ON
500020	Parâmetro errado. Banco está atualmente DESABILITADO	Bad param.  Bank is currently OFF
500021	Uso: .addres bank|world tipo-de-material (quantidade)	Usage: .addres bank|world resourcetype (amount)
500022	Você não está em uma região de recursos.	You are not in a resource region.
500023	Conjunto de tons errado.	Bad sethue.
500024	Abrindo a porta...	Opening door...
500025	Relatório de mem escrito	Mem report written
500026	Não foi possível abrir arquivo para acrescentar	Could not open file for appending
500027	Depuração de memória não habilitada	Memory debugging not enabled
500028	Não foi possível abrir, no servidor, o arquivo reslist.txt para escrita	Could not open reslist.txt for writing on server
500029	Escreveu reslist.txt no servidor	Wrote reslist.txt on server
500030	Verdaaaaaaaade.	Truuuuuuuue.
500031	Não senhor.	Nosir.
500032	Não existe tal objeto.	No such object.
500033	Alvo não encontrado.	Target not found.
500034	Alvo não encontrado.	Target not found.
500035	Alvo não encontrado.	Target not found.
500036	Alvo não encontrado.	Target not found.
500037	Uso: tornar template_number	Usage: become template_number
500038	Sucesso!	Success!
500039	Falha!	Failed!
500040	Modo de mestre do jogo HABILITADO	Game master mode on
500041	Modo de mestre de jogo DESABILITADO	Game master mode off
500042	Uso: gm [on|off]	Usage: gm [on|off]
500043	Alvo não encontrado.	Target not found.
500044	Alvo não encontrado.	Target not found.
500045	Alvo não encontrado.	Target not found.
500046	Alvo não encontrado.	Target not found.
500047	Alvo não encontrado.	Target not found.
500048	Alvo não encontrado.	Target not found.
500049	Alvo não encontrado.	Target not found.
500050	Alvo não encontrado.	Target not found.
500051	Alvo não encontrado.	Target not found.
500052	Alvo não encontrado.	Target not found.
